activity_id,learner_id,course_id,activity_date,lesson_id,session_minutes,activities_completed,participation_rate,completion_percentage
A02494,L045,SCI03,2026-08-10,SCI03_L02,46,3,96.4,100.0
A02495,L045,SCI03,2026-01-07,SCI03_L02,42,4,81.6,95.9
A02496,L045,SCI03,2025-12-11,SCI03_L12,38,5,83.4,86.2
A02497,L045,SCI03,2026-06-25,SCI03_L08,41,4,81.7,81.8
A02498,L045,SCI03,2026-02-17,SCI03_L06,33,3,76.0,59.3
A02499,L045,SCI03,2025-11-05,SCI03_L11,37,4,73.6,70.4
A02500,L045,SCI03,2026-08-02,SCI03_L04,51,5,61.8,67.2
A02501,L045,SCI03,2025-10-22,SCI03_L05,31,6,95.9,84.4
A02502,L045,SCI03,2026-07-15,SCI03_L02,29,4,82.6,87.2
A02503,L045,SCI03,2025-12-09,SCI03_L06,44,4,79.4,73.2
A02504,L045,SCI03,2026-05-07,SCI03_L08,45,3,76.1,87.1
A02505,L045,SCI03,2026-02-16,SCI03_L10,25,5,90.5,100.0
A02506,L045,SCI03,2026-08-04,SCI03_L05,43,5,82.7,79.4
A02507,L045,SCI03,2026-08-22,SCI03_L10,28,4,82.1,88.1
A02508,L045,SCI03,2025-11-18,SCI03_L10,47,3,84.8,78.4
A02509,L045,SCI03,2026-06-18,SCI03_L06,38,4,95.8,95.0
A02510,L045,SCI03,2026-02-09,SCI03_L07,52,4,74.1,60.6
A02511,L046,ELA01,2025-09-03,ELA01_L06,18,3,62.0,50.4
A02512,L046,ELA01,2026-01-05,ELA01_L04,29,4,70.5,87.3
A02513,L046,ELA01,2026-08-31,ELA01_L12,32,3,71.9,53.6
A02514,L046,ELA01,2026-07-26,ELA01_L07,27,4,64.5,95.4
A02515,L046,ELA01,2026-01-20,ELA01_L06,18,3,69.6,71.1
A02516,L046,ELA01,2025-11-08,ELA01_L11,28,4,66.3,51.4
A02517,L046,ELA01,2026-02-17,ELA01_L08,39,2,58.0,64.5
A02518,L046,ELA01,2026-04-25,ELA01_L08,48,3,54.6,52.0
A02519,L046,ELA01,2026-03-03,ELA01_L05,30,3,68.2,75.2
A02520,L046,ELA01,2026-05-08,ELA01_L09,41,3,73.3,71.5
A02521,L046,ELA01,2025-10-26,ELA01_L03,42,2,84.4,85.6
A02522,L046,ELA01,2026-07-28,ELA01_L10,33,2,62.9,58.0
A02523,L046,MATH01,2026-01-22,MATH01_L03,39,1,80.1,94.7
A02524,L046,MATH01,2026-06-03,MATH01_L04,31,4,74.3,64.0
A02525,L046,MATH01,2026-01-13,MATH01_L12,46,3,61.8,39.4
A02526,L046,MATH01,2026-07-18,MATH01_L02,34,4,65.1,65.3
A02527,L046,MATH01,2025-10-09,MATH01_L01,43,3,62.2,53.2
A02528,L046,MATH01,2026-05-18,MATH01_L11,36,3,74.8,77.0
A02529,L046,MATH01,2025-09-16,MATH01_L10,30,3,57.0,54.7
A02530,L046,MATH01,2026-06-24,MATH01_L07,36,4,75.8,75.9
A02531,L046,MATH01,2026-06-30,MATH01_L04,37,3,74.1,73.9
A02532,L046,MATH01,2025-09-19,MATH01_L09,38,3,58.0,51.9
A02533,L046,MATH01,2026-01-12,MATH01_L09,24,3,74.5,86.8
A02534,L046,READ01,2026-04-30,READ01_L11,34,4,68.1,70.3
A02535,L046,READ01,2025-11-16,READ01_L06,31,5,53.5,45.6
A02536,L046,READ01,2026-03-20,READ01_L04,30,3,63.1,56.1
A02537,L046,READ01,2026-06-29,READ01_L12,36,4,69.5,56.9
A02538,L046,READ01,2026-01-27,READ01_L03,32,4,62.9,53.4
A02539,L046,READ01,2026-04-26,READ01_L09,44,2,72.9,67.0
A02540,L046,READ01,2026-05-20,READ01_L02,55,3,61.3,81.5
A02541,L046,READ01,2026-03-23,READ01_L06,26,3,55.5,45.3
A02542,L046,READ01,2026-05-16,READ01_L01,29,2,63.5,77.4
A02543,L046,READ01,2026-08-06,READ01_L04,42,4,75.4,76.5
A02544,L046,READ01,2026-07-12,READ01_L11,27,4,61.6,47.5
A02545,L046,READ01,2025-11-24,READ01_L13,43,5,57.6,62.4
A02546,L046,READ01,2026-05-22,READ01_L03,32,2,74.5,81.8
A02547,L046,READ01,2026-04-17,READ01_L03,35,3,70.2,81.7
A02548,L046,READ01,2025-12-01,READ01_L10,28,2,57.7,58.7
A02549,L046,READ01,2026-06-17,READ01_L11,29,3,56.9,53.8
A02550,L046,READ01,2025-11-14,READ01_L12,35,5,53.7,55.3
A02551,L046,READ01,2026-05-06,READ01_L06,45,4,77.9,78.8
A02552,L046,SCI01,2025-12-22,SCI01_L08,40,3,65.8,43.2
A02553,L046,SCI01,2025-12-28,SCI01_L02,25,2,69.5,69.5
A02554,L046,SCI01,2026-01-14,SCI01_L06,23,3,64.8,76.4
A02555,L046,SCI01,2025-12-29,SCI01_L01,44,2,56.6,82.0
A02556,L046,SCI01,2026-08-09,SCI01_L04,35,1,62.3,61.6
A02557,L046,SCI01,2026-05-24,SCI01_L06,33,3,67.4,56.1
A02558,L046,SCI01,2026-03-18,SCI01_L08,34,5,74.6,68.3
A02559,L046,SCI01,2026-04-21,SCI01_L01,41,2,62.1,47.6
A02560,L046,SCI01,2025-09-21,SCI01_L11,25,1,74.4,96.8
A02561,L046,SCI01,2026-02-13,SCI01_L02,36,3,54.5,20.7
A02562,L047,MATH03,2026-07-22,MATH03_L05,36,3,58.1,68.9
A02563,L047,MATH03,2026-01-13,MATH03_L10,38,2,57.1,40.2
A02564,L047,MATH03,2026-06-06,MATH03_L10,21,4,49.8,31.7
A02565,L047,MATH03,2025-11-29,MATH03_L07,30,3,62.4,78.8
A02566,L047,MATH03,2026-08-01,MATH03_L07,37,3,56.7,54.9
A02567,L047,MATH03,2026-03-07,MATH03_L10,21,4,78.6,86.5
A02568,L047,MATH03,2026-08-01,MATH03_L02,46,1,56.4,50.1
A02569,L047,MATH03,2026-05-23,MATH03_L05,36,2,50.6,55.8
A02570,L047,MATH03,2026-03-12,MATH03_L04,29,3,58.7,55.5
A02571,L047,MATH03,2026-05-23,MATH03_L07,55,3,51.5,24.9
A02572,L047,MATH03,2026-02-28,MATH03_L06,22,4,53.5,57.4
A02573,L047,MATH03,2026-05-08,MATH03_L08,30,3,63.4,59.0
A02574,L047,MATH03,2026-07-07,MATH03_L01,39,3,59.6,65.6
A02575,L047,MATH03,2026-05-15,MATH03_L03,40,3,64.2,68.5
A02576,L047,MATH03,2026-04-14,MATH03_L03,27,2,69.7,55.5
A02577,L047,MATH03,2025-12-27,MATH03_L02,18,3,61.7,60.4
A02578,L047,MATH03,2026-05-22,MATH03_L11,27,3,69.3,82.8
A02579,L047,MATH03,2026-01-22,MATH03_L04,27,3,71.3,74.8
A02580,L047,ELA03,2025-12-05,ELA03_L03,30,4,63.2,40.5
A02581,L047,ELA03,2026-03-05,ELA03_L10,36,3,56.9,73.1
A02582,L047,ELA03,2025-10-31,ELA03_L11,30,4,69.8,61.2
A02583,L047,ELA03,2025-12-27,ELA03_L07,47,4,67.7,68.9
A02584,L047,ELA03,2026-02-17,ELA03_L12,20,3,57.6,44.2
A02585,L047,ELA03,2025-10-29,ELA03_L08,23,3,53.9,53.5
A02586,L047,ELA03,2026-08-12,ELA03_L08,28,4,62.4,59.9
A02587,L047,ELA03,2026-05-04,ELA03_L04,34,5,53.9,57.9
A02588,L047,ELA03,2026-06-30,ELA03_L03,20,3,57.3,60.1
A02589,L047,ELA03,2026-07-29,ELA03_L07,19,2,57.1,74.6
A02590,L047,ELA03,2025-09-12,ELA03_L04,25,4,71.7,57.6
A02591,L047,ELA03,2025-09-23,ELA03_L03,35,4,71.5,50.9
A02592,L047,MATH02,2025-11-08,MATH02_L11,33,4,65.7,76.6
A02593,L047,MATH02,2026-05-21,MATH02_L01,28,4,60.8,60.0
A02594,L047,MATH02,2026-06-21,MATH02_L03,25,2,53.2,47.1
A02595,L047,MATH02,2025-09-29,MATH02_L03,34,2,69.1,78.7
A02596,L047,MATH02,2026-01-11,MATH02_L03,33,3,53.6,62.9
A02597,L047,MATH02,2026-05-23,MATH02_L07,26,1,47.6,44.5
A02598,L047,MATH02,2026-07-04,MATH02_L10,29,3,69.9,80.4
A02599,L047,MATH02,2026-07-24,MATH02_L01,32,4,68.8,55.9
A02600,L047,MATH02,2026-08-05,MATH02_L14,50,4,71.3,46.2
A02601,L047,MATH02,2026-01-24,MATH02_L02,37,3,55.8,71.0
A02602,L047,MATH02,2025-12-20,MATH02_L08,27,3,64.9,54.2
A02603,L047,MATH02,2026-07-08,MATH02_L08,28,4,58.8,84.2
A02604,L047,SCI02,2025-11-27,SCI02_L04,17,3,48.8,30.6
A02605,L047,SCI02,2026-03-30,SCI02_L10,39,5,60.6,63.0
A02606,L047,SCI02,2025-11-13,SCI02_L13,17,3,58.7,59.5
A02607,L047,SCI02,2026-06-26,SCI02_L14,27,3,65.3,47.6
A02608,L047,SCI02,2025-12-03,SCI02_L10,24,1,41.9,45.9
A02609,L047,SCI02,2026-08-04,SCI02_L09,28,2,56.1,20.0
A02610,L047,SCI02,2026-01-14,SCI02_L03,25,3,72.3,54.8
A02611,L047,SCI02,2026-08-18,SCI02_L06,34,2,68.0,63.3
A02612,L047,SCI02,2026-04-21,SCI02_L10,32,3,73.7,62.4
A02613,L047,SCI02,2026-06-30,SCI02_L02,31,3,45.1,58.3
A02614,L047,SCI02,2025-12-27,SCI02_L07,24,2,42.2,42.2
A02615,L047,SCI02,2026-03-17,SCI02_L03,32,3,59.1,48.2
A02616,L047,SCI02,2025-10-26,SCI02_L01,36,3,67.7,86.9
A02617,L047,SCI02,2025-12-13,SCI02_L09,40,1,72.7,91.6
A02618,L047,SCI02,2026-05-17,SCI02_L11,49,4,66.6,85.5
A02619,L047,SCI02,2026-04-03,SCI02_L14,43,5,67.3,69.9
A02620,L047,SCI02,2025-11-16,SCI02_L10,30,3,47.7,48.6
A02621,L048,READ01,2025-11-30,READ01_L08,18,2,45.7,55.4
A02622,L048,READ01,2026-07-12,READ01_L10,39,4,68.4,67.4
A02623,L048,READ01,2025-09-20,READ01_L13,28,3,41.8,35.8
A02624,L048,READ01,2026-05-31,READ01_L09,35,4,56.1,52.8
A02625,L048,READ01,2025-10-31,READ01_L02,27,3,40.5,55.2
A02626,L048,READ01,2026-05-05,READ01_L11,35,3,51.2,51.7
A02627,L048,READ01,2025-11-06,READ01_L10,26,2,63.2,63.0
A02628,L048,READ01,2026-06-04,READ01_L14,35,2,50.6,53.3
A02629,L048,READ01,2025-09-01,READ01_L13,33,2,54.9,50.8
A02630,L048,READ01,2026-08-14,READ01_L11,33,3,56.5,76.9
A02631,L048,READ01,2026-04-09,READ01_L09,31,1,47.8,52.2
A02632,L048,MATH03,2026-03-09,MATH03_L01,29,2,46.8,50.2
A02633,L048,MATH03,2026-08-24,MATH03_L09,26,4,51.3,54.7
A02634,L048,MATH03,2026-04-08,MATH03_L04,29,4,51.2,48.4
A02635,L048,MATH03,2026-05-05,MATH03_L07,26,2,50.2,43.1
A02636,L048,MATH03,2026-02-27,MATH03_L10,22,2,45.5,52.6
A02637,L048,MATH03,2026-08-23,MATH03_L10,30,4,52.7,68.2
A02638,L048,MATH03,2025-10-21,MATH03_L07,26,2,53.5,61.8
A02639,L048,MATH03,2025-11-08,MATH03_L05,28,2,54.1,44.8
A02640,L048,MATH03,2026-05-03,MATH03_L04,21,4,58.3,51.9
A02641,L048,MATH03,2025-10-13,MATH03_L05,21,3,54.5,50.6
A02642,L048,MATH03,2026-07-04,MATH03_L09,43,3,55.3,45.8
A02643,L048,MATH03,2026-03-29,MATH03_L05,36,4,50.0,53.4
A02644,L048,MATH03,2025-12-06,MATH03_L01,36,4,61.2,37.8
A02645,L048,MATH03,2026-08-30,MATH03_L12,39,1,61.0,50.4
A02646,L048,MATH03,2025-09-04,MATH03_L10,25,2,48.9,51.8
A02647,L048,MATH03,2026-05-26,MATH03_L02,40,2,62.6,52.5
A02648,L048,ELA02,2025-09-04,ELA02_L07,36,3,66.2,71.9
A02649,L048,ELA02,2026-08-02,ELA02_L04,35,2,55.5,58.7
A02650,L048,ELA02,2026-08-19,ELA02_L13,26,2,43.6,39.1
A02651,L048,ELA02,2026-02-09,ELA02_L07,27,1,48.3,54.9
A02652,L048,ELA02,2026-03-05,ELA02_L02,18,2,55.1,59.1
A02653,L048,ELA02,2025-11-19,ELA02_L07,26,3,51.4,55.5
A02654,L048,ELA02,2026-07-31,ELA02_L10,36,2,44.2,44.0
A02655,L048,ELA02,2026-01-08,ELA02_L05,27,2,55.4,52.0
A02656,L048,ELA02,2026-06-02,ELA02_L07,20,4,68.7,65.6
A02657,L048,ELA02,2026-06-17,ELA02_L06,23,2,56.0,50.0
A02658,L048,ELA02,2026-07-11,ELA02_L05,30,2,47.3,69.6
A02659,L048,ELA02,2026-08-15,ELA02_L07,32,3,46.4,33.5
A02660,L048,ELA02,2025-12-14,ELA02_L07,28,1,61.2,69.1
A02661,L048,ELA02,2026-06-10,ELA02_L13,23,3,46.8,42.6
A02662,L048,ELA02,2026-06-13,ELA02_L08,41,2,63.1,72.6
A02663,L048,ELA02,2025-12-01,ELA02_L06,49,2,49.7,62.0
A02664,L048,ELA02,2026-06-14,ELA02_L09,34,2,62.5,60.6
A02665,L048,ELA02,2026-05-06,ELA02_L05,33,3,38.5,40.1
A02666,L048,SCI02,2026-06-23,SCI02_L06,21,2,31.9,35.4
A02667,L048,SCI02,2026-08-28,SCI02_L07,30,3,58.0,45.7
A02668,L048,SCI02,2025-11-10,SCI02_L14,35,3,60.6,58.4
A02669,L048,SCI02,2026-08-04,SCI02_L02,35,2,70.4,73.3
A02670,L048,SCI02,2025-12-27,SCI02_L08,27,4,61.7,66.3
A02671,L048,SCI02,2026-08-25,SCI02_L03,34,2,37.0,43.4
A02672,L048,SCI02,2025-10-22,SCI02_L04,33,4,63.3,61.1
A02673,L048,SCI02,2026-05-19,SCI02_L07,38,3,60.7,70.1
A02674,L048,SCI02,2026-02-21,SCI02_L13,28,1,51.0,53.8
A02675,L048,SCI02,2026-06-09,SCI02_L10,41,4,58.3,54.9
A02676,L048,SCI02,2026-08-23,SCI02_L11,35,4,46.3,55.3
A02677,L048,SCI02,2026-08-28,SCI02_L01,30,2,64.4,55.5
A02678,L048,SCI02,2025-11-22,SCI02_L07,31,3,55.3,53.7
A02679,L048,SCI02,2026-07-23,SCI02_L01,25,4,54.6,55.6
A02680,L049,MATH01,2025-11-14,MATH01_L08,34,3,83.0,98.7
A02681,L049,MATH01,2026-07-05,MATH01_L07,27,5,88.8,99.9
A02682,L049,MATH01,2025-10-16,MATH01_L02,53,4,85.4,68.4
A02683,L049,MATH01,2026-01-13,MATH01_L04,42,4,87.3,94.2
A02684,L049,MATH01,2026-03-09,MATH01_L02,48,3,71.0,59.2
A02685,L049,MATH01,2026-07-09,MATH01_L01,43,4,83.5,74.6
A02686,L049,MATH01,2026-03-16,MATH01_L07,31,4,80.3,93.2
A02687,L049,MATH01,2026-07-12,MATH01_L11,47,6,84.3,77.3
A02688,L049,MATH01,2026-05-25,MATH01_L05,57,6,82.9,62.8
A02689,L049,MATH01,2026-08-31,MATH01_L10,40,5,87.5,78.5
A02690,L049,MATH01,2025-09-30,MATH01_L03,34,4,77.7,87.4
A02691,L049,ELA01,2026-04-13,ELA01_L01,35,2,74.9,87.0
A02692,L049,ELA01,2025-12-13,ELA01_L11,37,4,94.6,100.0
A02693,L049,ELA01,2026-05-24,ELA01_L05,43,4,96.2,76.8
A02694,L049,ELA01,2025-12-09,ELA01_L01,40,4,75.5,77.8
A02695,L049,ELA01,2026-07-04,ELA01_L09,31,3,80.0,98.7
A02696,L049,ELA01,2026-05-23,ELA01_L12,54,5,91.5,86.3
A02697,L049,ELA01,2025-12-28,ELA01_L10,40,4,95.0,94.5
A02698,L049,ELA01,2025-11-26,ELA01_L11,53,5,60.8,64.8
A02699,L049,ELA01,2025-09-19,ELA01_L06,41,4,83.9,91.3
A02700,L049,ELA01,2026-01-01,ELA01_L11,41,5,73.9,71.5
A02701,L049,ELA01,2025-09-01,ELA01_L03,32,3,87.3,90.2
A02702,L049,ELA01,2025-10-15,ELA01_L05,25,5,89.8,83.3
A02703,L049,ELA01,2026-03-24,ELA01_L06,29,3,82.8,94.4
A02704,L049,ELA01,2026-08-09,ELA01_L07,37,4,84.6,90.5
A02705,L049,ELA01,2026-03-27,ELA01_L10,39,5,87.9,99.6
A02706,L049,ELA01,2025-12-12,ELA01_L09,40,5,87.7,91.5
A02707,L049,ELA01,2025-09-08,ELA01_L12,47,3,92.9,79.8
A02708,L049,READ01,2025-10-17,READ01_L09,48,3,78.8,83.5
A02709,L049,READ01,2026-01-24,READ01_L12,49,4,87.3,71.2
A02710,L049,READ01,2026-06-14,READ01_L10,30,4,76.7,74.5
A02711,L049,READ01,2026-02-26,READ01_L06,52,3,75.1,91.2
A02712,L049,READ01,2026-01-20,READ01_L04,47,4,93.9,98.0
A02713,L049,READ01,2026-07-08,READ01_L04,47,4,74.2,69.3
A02714,L049,READ01,2026-04-21,READ01_L07,20,3,74.6,87.9
A02715,L049,READ01,2026-06-22,READ01_L01,38,5,81.2,100.0
A02716,L049,READ01,2026-01-12,READ01_L03,32,2,95.0,100.0
A02717,L049,READ01,2026-03-28,READ01_L09,41,3,100.0,100.0
A02718,L049,READ01,2025-10-25,READ01_L09,39,5,83.5,87.5
A02719,L049,SCI01,2026-05-16,SCI01_L05,37,5,74.9,81.0
A02720,L049,SCI01,2026-02-22,SCI01_L02,47,4,86.5,88.6
A02721,L049,SCI01,2026-05-21,SCI01_L05,36,5,57.4,52.7
A02722,L049,SCI01,2026-06-03,SCI01_L10,31,5,80.7,87.2
A02723,L049,SCI01,2026-01-07,SCI01_L12,26,4,91.0,87.6
A02724,L049,SCI01,2026-04-15,SCI01_L07,35,4,82.1,92.3
A02725,L049,SCI01,2026-06-16,SCI01_L08,54,5,69.1,68.6
A02726,L049,SCI01,2026-01-03,SCI01_L06,28,4,91.6,90.2
A02727,L049,SCI01,2026-04-23,SCI01_L11,39,5,95.3,88.2
A02728,L049,SCI01,2026-04-24,SCI01_L10,53,5,88.3,87.3
A02729,L049,SCI01,2025-09-15,SCI01_L08,44,5,89.8,100.0
A02730,L050,SCI02,2026-01-11,SCI02_L02,38,5,90.1,85.5
A02731,L050,SCI02,2026-03-15,SCI02_L11,37,4,73.9,53.9
A02732,L050,SCI02,2025-12-22,SCI02_L11,17,7,88.1,100.0
A02733,L050,SCI02,2026-08-26,SCI02_L04,39,4,79.2,72.1
A02734,L050,SCI02,2026-02-09,SCI02_L07,38,4,82.8,85.0
A02735,L050,SCI02,2026-02-28,SCI02_L09,39,4,70.8,72.3
A02736,L050,SCI02,2026-06-02,SCI02_L01,48,4,79.5,82.3
A02737,L050,SCI02,2026-08-25,SCI02_L14,38,4,91.6,90.5
A02738,L050,SCI02,2026-01-13,SCI02_L04,37,5,91.2,89.9
A02739,L050,SCI02,2026-01-26,SCI02_L02,44,4,74.4,81.8
A02740,L050,SCI02,2026-03-24,SCI02_L11,39,4,59.4,46.7
A02741,L050,ELA02,2025-10-09,ELA02_L09,34,4,76.8,60.4
A02742,L050,ELA02,2025-12-01,ELA02_L08,50,4,83.8,93.5
A02743,L050,ELA02,2026-02-08,ELA02_L06,49,6,90.0,84.0
A02744,L050,ELA02,2025-12-21,ELA02_L10,45,5,75.5,84.8
A02745,L050,ELA02,2026-01-16,ELA02_L03,39,4,96.4,84.6
A02746,L050,ELA02,2026-08-16,ELA02_L04,36,4,98.3,94.2
A02747,L050,ELA02,2026-05-14,ELA02_L12,33,4,76.1,59.7
A02748,L050,ELA02,2025-12-12,ELA02_L04,54,5,75.0,86.1
A02749,L050,ELA02,2026-01-02,ELA02_L14,54,2,90.7,75.9
A02750,L050,ELA02,2026-01-14,ELA02_L04,35,4,74.8,69.5
A02751,L050,ELA02,2025-12-27,ELA02_L04,39,3,83.0,56.9
A02752,L050,ELA02,2026-01-06,ELA02_L14,34,4,73.3,59.8
A02753,L050,ELA02,2026-07-14,ELA02_L06,30,4,77.3,64.5
A02754,L050,ELA02,2025-11-19,ELA02_L13,28,4,74.5,64.1
A02755,L050,ELA02,2025-10-25,ELA02_L02,42,4,88.5,78.9
A02756,L050,MATH03,2026-08-13,MATH03_L11,44,4,84.3,100.0
A02757,L050,MATH03,2026-05-11,MATH03_L10,46,4,84.9,93.0
A02758,L050,MATH03,2025-09-04,MATH03_L09,35,4,74.9,79.0
A02759,L050,MATH03,2025-09-22,MATH03_L08,48,3,85.3,73.6
A02760,L050,MATH03,2026-03-10,MATH03_L10,33,7,83.1,89.3
A02761,L050,MATH03,2026-02-09,MATH03_L08,35,4,80.6,81.0
A02762,L050,MATH03,2026-06-22,MATH03_L05,35,4,82.2,98.3
A02763,L050,MATH03,2026-05-10,MATH03_L03,41,3,92.3,98.8
A02764,L050,MATH03,2026-05-20,MATH03_L05,50,5,93.7,100.0
A02765,L050,MATH03,2026-03-23,MATH03_L04,44,3,81.7,85.2
A02766,L050,MATH03,2026-06-23,MATH03_L03,34,3,91.9,93.1
A02767,L050,READ01,2026-05-28,READ01_L13,44,4,79.5,100.0
A02768,L050,READ01,2026-04-05,READ01_L08,49,3,70.9,49.4
A02769,L050,READ01,2026-06-04,READ01_L01,37,3,83.2,63.0
A02770,L050,READ01,2026-05-16,READ01_L06,47,5,81.2,81.9
A02771,L050,READ01,2026-03-21,READ01_L14,39,3,85.1,68.0
A02772,L050,READ01,2026-08-18,READ01_L13,38,5,79.6,88.7
A02773,L050,READ01,2025-11-29,READ01_L08,37,3,86.1,91.0
A02774,L050,READ01,2025-11-01,READ01_L12,20,3,85.5,77.2
A02775,L050,READ01,2026-05-24,READ01_L08,32,4,82.2,79.7
A02776,L050,READ01,2026-02-09,READ01_L12,33,3,80.0,67.0
A02777,L051,SCI02,2025-09-07,SCI02_L11,43,3,82.2,100.0
A02778,L051,SCI02,2025-12-17,SCI02_L07,50,3,76.6,52.3
A02779,L051,SCI02,2026-06-25,SCI02_L02,40,4,82.4,74.7
A02780,L051,SCI02,2026-02-14,SCI02_L06,34,4,78.9,89.0
A02781,L051,SCI02,2026-07-11,SCI02_L14,43,4,80.6,76.5
A02782,L051,SCI02,2026-01-11,SCI02_L03,35,1,69.9,62.8
A02783,L051,SCI02,2026-06-08,SCI02_L05,43,4,78.5,82.7
A02784,L051,SCI02,2025-12-31,SCI02_L05,38,2,61.7,47.2
A02785,L051,SCI02,2026-04-30,SCI02_L10,48,4,77.7,77.9
A02786,L051,SCI02,2026-02-23,SCI02_L06,33,3,79.0,84.1
A02787,L051,MATH03,2026-05-14,MATH03_L07,43,4,68.1,78.0
A02788,L051,MATH03,2025-12-17,MATH03_L07,25,3,86.8,76.6
A02789,L051,MATH03,2026-08-25,MATH03_L06,30,6,64.7,72.0
A02790,L051,MATH03,2026-03-06,MATH03_L07,45,3,94.5,89.9
A02791,L051,MATH03,2026-01-22,MATH03_L08,42,3,83.9,65.7
A02792,L051,MATH03,2025-12-02,MATH03_L10,37,4,100.0,100.0
A02793,L051,MATH03,2025-11-07,MATH03_L10,39,5,77.2,75.7
A02794,L051,MATH03,2026-08-18,MATH03_L04,37,3,69.9,86.9
A02795,L051,MATH03,2025-10-22,MATH03_L12,39,3,88.5,73.8
A02796,L051,MATH03,2026-01-17,MATH03_L04,41,4,79.3,73.5
A02797,L051,MATH03,2026-06-12,MATH03_L07,38,2,74.4,61.2
A02798,L051,MATH03,2026-03-15,MATH03_L04,48,3,74.1,76.3
A02799,L051,ELA03,2025-11-16,ELA03_L08,49,5,81.0,80.3
A02800,L051,ELA03,2025-09-05,ELA03_L03,33,4,75.4,70.1
A02801,L051,ELA03,2026-04-04,ELA03_L08,42,5,83.6,98.7
A02802,L051,ELA03,2025-11-08,ELA03_L11,39,5,94.1,89.8
A02803,L051,ELA03,2026-05-23,ELA03_L09,47,5,88.6,89.8
A02804,L051,ELA03,2026-02-09,ELA03_L08,27,4,73.8,92.2
A02805,L051,ELA03,2026-02-01,ELA03_L05,45,5,76.7,73.3
A02806,L051,ELA03,2026-06-15,ELA03_L10,15,3,89.7,78.7
A02807,L051,ELA03,2025-09-25,ELA03_L07,41,4,72.6,77.3
A02808,L051,ELA03,2025-10-21,ELA03_L12,31,3,83.9,88.7
A02809,L051,ELA03,2025-11-23,ELA03_L01,26,5,74.1,90.9
A02810,L051,ELA03,2025-12-20,ELA03_L05,40,5,91.6,100.0
A02811,L051,ELA02,2026-07-20,ELA02_L02,47,4,74.0,85.0
A02812,L051,ELA02,2026-04-19,ELA02_L12,49,4,80.6,62.8
A02813,L051,ELA02,2026-02-19,ELA02_L05,31,5,90.8,89.7
A02814,L051,ELA02,2026-03-04,ELA02_L06,47,4,88.6,94.7
A02815,L051,ELA02,2026-06-14,ELA02_L09,22,4,82.5,69.1
A02816,L051,ELA02,2026-01-10,ELA02_L06,29,3,80.5,99.8
A02817,L051,ELA02,2025-09-11,ELA02_L07,38,4,87.7,84.7
A02818,L051,ELA02,2025-11-02,ELA02_L06,33,5,83.7,80.7
A02819,L051,ELA02,2026-08-14,ELA02_L10,38,3,75.8,79.7
A02820,L051,ELA02,2025-12-11,ELA02_L10,42,5,74.9,66.2
A02821,L051,ELA02,2026-06-22,ELA02_L11,42,4,78.1,83.7
A02822,L051,ELA02,2026-07-30,ELA02_L09,47,3,83.6,72.3
A02823,L051,ELA02,2025-11-29,ELA02_L13,31,5,76.7,62.8
A02824,L051,ELA02,2026-01-24,ELA02_L06,49,4,97.8,100.0
A02825,L051,ELA02,2026-02-14,ELA02_L11,58,3,66.1,64.6
A02826,L051,ELA02,2026-05-20,ELA02_L08,42,3,64.3,65.5
A02827,L051,ELA02,2026-04-17,ELA02_L02,30,3,74.8,77.5
A02828,L052,ELA02,2026-07-12,ELA02_L05,32,5,68.3,99.5
A02829,L052,ELA02,2026-04-26,ELA02_L11,31,4,82.3,82.7
A02830,L052,ELA02,2025-11-14,ELA02_L14,45,4,75.7,86.6
A02831,L052,ELA02,2025-11-25,ELA02_L11,49,4,76.0,64.3
A02832,L052,ELA02,2026-02-20,ELA02_L07,23,3,95.9,88.4
A02833,L052,ELA02,2026-07-21,ELA02_L10,53,5,98.6,94.6
A02834,L052,ELA02,2026-06-20,ELA02_L07,41,5,97.9,100.0
A02835,L052,ELA02,2025-10-07,ELA02_L02,36,4,78.1,85.4
A02836,L052,ELA02,2025-11-22,ELA02_L06,38,5,81.5,45.9
A02837,L052,ELA02,2025-12-26,ELA02_L06,44,5,82.6,81.8
A02838,L052,ELA02,2026-02-10,ELA02_L11,46,5,80.2,76.6
A02839,L052,ELA02,2026-01-28,ELA02_L12,51,2,80.7,72.4
A02840,L052,ELA02,2026-01-15,ELA02_L10,47,4,90.2,84.9
A02841,L052,ELA02,2026-07-28,ELA02_L07,33,5,71.5,63.9
A02842,L052,ELA02,2026-01-17,ELA02_L08,32,5,79.3,72.9
A02843,L052,ELA02,2026-03-05,ELA02_L12,25,2,77.7,77.8
A02844,L052,MATH02,2026-04-19,MATH02_L07,55,2,67.9,58.3
A02845,L052,MATH02,2025-11-25,MATH02_L03,35,3,78.7,67.2
A02846,L052,MATH02,2025-09-12,MATH02_L03,36,6,70.6,71.5
A02847,L052,MATH02,2025-12-30,MATH02_L11,42,5,88.0,54.4
A02848,L052,MATH02,2026-01-07,MATH02_L12,49,3,76.1,97.2
A02849,L052,MATH02,2026-08-25,MATH02_L12,34,3,90.4,78.2
A02850,L052,MATH02,2025-10-11,MATH02_L04,28,4,73.5,56.0
A02851,L052,MATH02,2025-11-25,MATH02_L07,43,2,83.3,100.0
A02852,L052,MATH02,2025-10-23,MATH02_L02,44,3,82.6,90.1
A02853,L052,MATH02,2025-10-03,MATH02_L08,37,6,87.5,88.1
